M1:gmoverid (L=1.00e-07) X,M1:gmoverid (L=1.00e-07) Y,M1:gmoverid (L=2.00e-07) X,M1:gmoverid (L=2.00e-07) Y,M1:gmoverid (L=3.00e-07) X,M1:gmoverid (L=3.00e-07) Y,M1:gmoverid (L=4.00e-07) X,M1:gmoverid (L=4.00e-07) Y,M1:gmoverid (L=5.00e-07) X,M1:gmoverid (L=5.00e-07) Y,M1:gmoverid (L=6.00e-07) X,M1:gmoverid (L=6.00e-07) Y,M1:gmoverid (L=7.00e-07) X,M1:gmoverid (L=7.00e-07) Y,M1:gmoverid (L=8.00e-07) X,M1:gmoverid (L=8.00e-07) Y,M1:gmoverid (L=9.00e-07) X,M1:gmoverid (L=9.00e-07) Y,M1:gmoverid (L=1.00e-06) X,M1:gmoverid (L=1.00e-06) Y
0.4530000000000001,19.9827868525471,0.4530000000000001,18.95728201604457,0.4530000000000001,18.52676201330935,0.4530000000000001,18.29268310499655,0.4530000000000001,18.07048830755513,0.4530000000000001,17.87380361737716,0.4530000000000001,17.70244869303972,0.4530000000000001,17.55327634067535,0.4530000000000001,17.42285234498157,0.4530000000000001,17.30813247524184
0.4540000000000001,19.91226569945145,0.4540000000000001,18.89099811132041,0.4540000000000001,18.46240969656629,0.4540000000000001,18.22862190561121,0.4540000000000001,18.00673734108197,0.4540000000000001,17.81035289508478,0.4540000000000001,17.63928004889863,0.4540000000000001,17.49036925952602,0.4540000000000001,17.36018633238312,0.4540000000000001,17.24568810360094
0.4550000000000001,19.8417811590226,0.4550000000000001,18.82490587039148,0.4550000000000001,18.39826074427199,0.4550000000000001,18.16475918243391,0.4550000000000001,17.94318514457637,0.4550000000000001,17.74710272443289,0.4550000000000001,17.5763140315263,0.4550000000000001,17.42766677884164,0.4550000000000001,17.2977266760333,0.4550000000000001,17.18345160959122
0.4560000000000001,19.77133828928711,0.4560000000000001,18.7590077254418,0.4560000000000001,18.33431667676033,0.4560000000000001,18.10109639729558,0.4560000000000001,17.87983306074765,0.4560000000000001,17.68405431448775,0.4560000000000001,17.51355172003799,0.4560000000000001,17.36516985811242,0.4560000000000001,17.2354742278576,0.4560000000000001,17.12142374935525
0.4570000000000001,19.70094211740915,0.4570000000000001,18.69330600478799,0.4570000000000001,18.27057891370344,0.4570000000000001,18.03763491596845,0.4570000000000001,17.81668233921027,0.4570000000000001,17.62120878399006,0.4570000000000001,17.45099410601004,0.4570000000000001,17.30287937205535,0.4570000000000001,17.17342975768991,0.4570000000000001,17.0596051994979
0.4580000000000001,19.63059763732734,0.4580000000000001,18.62780293251796,0.4580000000000001,18.20704877468543,0.4580000000000001,17.97437600894643,0.4580000000000001,17.75373413753228,0.4580000000000001,17.55856716264595,0.4580000000000001,17.38864209496943,0.4580000000000001,17.24079611226035,0.4580000000000001,17.11159395504027,0.4580000000000001,16.99799655894784
0.4590000000000001,19.56030980736681,0.4590000000000001,18.56250062823948,0.4590000000000001,18.14372747988883,0.4590000000000001,17.91132085233449,0.4590000000000001,17.6909895223848,0.4590000000000001,17.4961303925089,0.4590000000000001,17.32649650796364,0.4590000000000001,17.17892078890586,0.4590000000000001,17.04996743092261,0.4590000000000001,16.93659835087126
0.4600000000000001,19.49008354783324,0.4600000000000001,18.49740110693962,0.4600000000000001,18.08061615089098,0.4600000000000001,17.84847052884558,0.4600000000000001,17.62844947078973,0.4600000000000001,17.43389932944766,0.4600000000000001,17.26455808320422,0.4600000000000001,17.11725403253832,0.4600000000000001,16.9885507197367,0.4600000000000001,16.87541102463084
0.4610000000000001,19.41992373859313,0.4610000000000001,18.43250627895456,0.4610000000000001,18.01771581156891,0.4610000000000001,17.7858260289002,0.4610000000000001,17.56611487145982,0.4610000000000001,17.37187474469576,0.4610000000000001,17.20282747778133,0.4610000000000001,17.05579639591132,0.4610000000000001,16.92734428120086,0.4610000000000001,16.8144349577872
0.4620000000000001,19.34983521664712,0.4620000000000001,18.3678179500522,0.4620000000000001,17.95502738910923,0.4620000000000001,17.72338825182584,0.4620000000000001,17.50398652622767,0.4620000000000001,17.31005732647751,0.4620000000000001,17.14130526944207,0.4620000000000001,16.99454835587865,0.4620000000000001,16.86634850232842,0.4620000000000001,16.75367045813607
