M1:id (L=1.00e-07) X,M1:id (L=1.00e-07) Y,M1:id (L=2.00e-07) X,M1:id (L=2.00e-07) Y,M1:id (L=3.00e-07) X,M1:id (L=3.00e-07) Y,M1:id (L=4.00e-07) X,M1:id (L=4.00e-07) Y,M1:id (L=5.00e-07) X,M1:id (L=5.00e-07) Y,M1:id (L=6.00e-07) X,M1:id (L=6.00e-07) Y,M1:id (L=7.00e-07) X,M1:id (L=7.00e-07) Y,M1:id (L=8.00e-07) X,M1:id (L=8.00e-07) Y,M1:id (L=9.00e-07) X,M1:id (L=9.00e-07) Y,M1:id (L=1.00e-06) X,M1:id (L=1.00e-06) Y
0.4590000000000001,2.828924196819358e-06,0.4590000000000001,1.840889844593027e-06,0.4590000000000001,1.433236201970979e-06,0.4590000000000001,1.185347238398973e-06,0.4590000000000001,1.022045369213556e-06,0.4590000000000001,9.040526605864604e-07,0.4590000000000001,8.13626132490192e-07,0.4590000000000001,7.414769234148924e-07,0.4590000000000001,6.822112942172978e-07,0.4590000000000001,6.324481683731867e-07
0.4600000000000001,2.884447970559965e-06,0.4600000000000001,1.875224920811798e-06,0.4600000000000001,1.459377270628855e-06,0.4600000000000001,1.20669544618342e-06,0.4600000000000001,1.040228424387278e-06,0.4600000000000001,9.199605375184297e-07,0.4600000000000001,8.278046683043273e-07,0.4600000000000001,7.542884640469869e-07,0.4600000000000001,6.939105466689554e-07,0.4600000000000001,6.432220424517162e-07
0.4610000000000001,2.940851881166482e-06,0.4610000000000001,1.910075130825244e-06,0.4610000000000001,1.485900890137858e-06,0.4610000000000001,1.228350658382306e-06,0.4610000000000001,1.058668586338078e-06,0.4610000000000001,9.360899621558499e-07,0.4610000000000001,8.421780428086553e-07,0.4610000000000001,7.672739996372791e-07,0.4610000000000001,7.057670489088272e-07,0.4610000000000001,6.541394042249712e-07
0.4620000000000001,2.99814521038792e-06,0.4620000000000001,1.945445828939825e-06,0.4620000000000001,1.512810935030879e-06,0.4620000000000001,1.25031588428727e-06,0.4620000000000001,1.077368300366641e-06,0.4620000000000001,9.524429859527076e-07,0.4620000000000001,8.567480181482731e-07,0.4620000000000001,7.804350715088315e-07,0.4620000000000001,7.177821685905713e-07,0.4620000000000001,6.652014814428382e-07
0.4630000000000001,3.056337255213357e-06,0.4630000000000001,1.981342390805958e-06,0.4630000000000001,1.540111294497149e-06,0.4630000000000001,1.27259414272792e-06,0.4630000000000001,1.096330018300736e-06,0.4630000000000001,9.6902166497449e-07,0.4630000000000001,8.715163597928806e-07,0.4630000000000001,7.937732234097807e-07,0.4630000000000001,7.299572751440887e-07,0.4630000000000001,6.764095031517665e-07
0.4640000000000001,3.115437326859651e-06,0.4640000000000001,2.0177702130875e-06,0.4640000000000001,1.567805872100066e-06,0.4640000000000001,1.295188461827466e-06,0.4640000000000001,1.11555619828181e-06,0.4640000000000001,9.858280597091648e-07,0.4640000000000001,8.864848363680022e-07,0.4640000000000001,8.072900013607342e-07,0.4640000000000001,7.422937396365974e-07,0.4640000000000001,6.877646995674139e-07
0.4650000000000001,3.175454749763621e-06,0.4650000000000001,2.054734713120541e-06,0.4650000000000001,1.595898585486108e-06,0.4650000000000001,1.31810187875167e-06,0.4650000000000001,1.13504930454649e-06,0.4650000000000001,1.002864234874536e-06,0.4650000000000001,9.016552194826728e-07,0.4650000000000001,8.209869534995547e-07,0.4650000000000001,7.547929346315108e-07,0.4650000000000001,6.992683019454315e-07
0.4660000000000001,3.236398860579399e-06,0.4660000000000001,2.092241328560927e-06,0.4660000000000001,1.624393366084345e-06,0.4660000000000001,1.341337439451463e-06,0.4660000000000001,1.154811807203006e-06,0.4660000000000001,1.020132259221353e-06,0.4660000000000001,9.170292835543047e-07,0.4660000000000001,8.348656299235995e-07,0.4660000000000001,7.674562340451949e-07,0.4660000000000001,7.109215424504018e-07
0.4670000000000001,3.298279007179889e-06,0.4670000000000001,2.130295517020203e-06,0.4670000000000001,1.65329415879653e-06,0.4670000000000001,1.364898198398639e-06,0.4670000000000001,1.174846182002794e-06,0.4670000000000001,1.037634205332929e-06,0.4670000000000001,9.32608805630289e-07,0.4670000000000001,8.489275825294554e-07,0.4670000000000001,7.802850130016533e-07,0.4670000000000001,7.227256540231637e-07
0.4680000000000001,3.361104547663081e-06,0.4680000000000001,2.168902755689659e-06,0.4680000000000001,1.682604921677767e-06,0.4680000000000001,1.38878721831477e-06,0.4680000000000001,1.195154910106957e-06,0.4680000000000001,1.055372149420503e-06,0.4680000000000001,9.48395565206483e-07,0.4680000000000001,8.631743648500908e-07,0.4680000000000001,7.932806476851281e-07,0.4680000000000001,7.34681870246267e-07
